epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,773.481,1.51183,0.66849,0.40527,0.47757,0.14157,0.12944,0.07334,1.00109,0.57211,0.13686,0.0033323,0.0033323,0.0033323
2,1608.57,1.44357,0.41327,0.26022,0.47184,0.17266,0.15888,0.08661,1.0178,0.48283,0.13455,0.00659965,0.00659965,0.00659965
3,2341.18,1.62119,0.32606,0.29132,0.5099,0.18218,0.16893,0.07915,1.16977,0.43892,0.17243,0.00980099,0.00980099,0.00980099
4,3071.95,1.61767,0.31785,0.2823,0.45777,0.17443,0.15811,0.06974,1.23141,0.39276,0.15679,0.009703,0.009703,0.009703
5,3805.57,1.55522,0.3208,0.25648,0.48136,0.19064,0.17926,0.07153,1.21698,0.38089,0.18442,0.009604,0.009604,0.009604
6,5424.63,1.55515,0.31247,0.24074,0.48812,0.21942,0.24039,0.09929,1.16995,0.39584,0.1592,0.009505,0.009505,0.009505
7,6135.36,1.49885,0.32316,0.22531,0.43645,0.23761,0.23382,0.11219,1.1429,0.3946,0.13781,0.009406,0.009406,0.009406
8,6845.25,1.47945,0.33036,0.21657,0.41832,0.21909,0.22732,0.08837,1.28104,0.36736,0.14564,0.009307,0.009307,0.009307
9,7555.25,1.4751,0.32836,0.21274,0.51848,0.31961,0.32746,0.1726,1.03376,0.41475,0.13735,0.009208,0.009208,0.009208
10,8312.81,1.51411,0.31293,0.21494,0.47336,0.2934,0.30269,0.13421,1.08691,0.41471,0.11801,0.009109,0.009109,0.009109
11,10477.6,1.43535,0.33565,0.20015,0.53129,0.33522,0.35068,0.18097,0.96979,0.43491,0.11767,0.00901,0.00901,0.00901
12,11187.4,1.4481,0.33196,0.19905,0.49867,0.31053,0.32074,0.14432,1.07525,0.42347,0.12632,0.008911,0.008911,0.008911
13,11897.5,1.39876,0.34318,0.18936,0.55077,0.36363,0.37413,0.21216,0.92686,0.44748,0.10014,0.008812,0.008812,0.008812
14,12610.1,1.42107,0.3349,0.19055,0.48289,0.30689,0.30554,0.12508,1.12248,0.41523,0.11624,0.008713,0.008713,0.008713
15,13458.2,1.44575,0.32153,0.19089,0.44909,0.28614,0.27999,0.12454,1.11224,0.40371,0.11855,0.008614,0.008614,0.008614
16,14166,1.39348,0.34125,0.18006,0.53519,0.35759,0.35972,0.17766,1.00102,0.42184,0.11241,0.008515,0.008515,0.008515
17,14878.1,1.38214,0.3407,0.18165,0.55605,0.34707,0.36076,0.20157,0.99777,0.42694,0.10146,0.008416,0.008416,0.008416
18,16288.2,1.37784,0.34567,0.18128,0.53312,0.35199,0.35088,0.17738,1.00062,0.43479,0.11336,0.008317,0.008317,0.008317
19,16996.4,1.38008,0.33782,0.17425,0.55506,0.36873,0.37463,0.18649,0.97491,0.43511,0.10129,0.008218,0.008218,0.008218
20,17707,1.34826,0.35323,0.16552,0.57266,0.39512,0.40363,0.2147,0.87022,0.4703,0.09718,0.008119,0.008119,0.008119
21,18425.2,1.37918,0.3406,0.17385,0.50434,0.36362,0.3525,0.14292,1.00045,0.42711,0.12002,0.00802,0.00802,0.00802
22,19134.4,1.34377,0.35058,0.16774,0.54852,0.39236,0.38349,0.19988,0.97606,0.43231,0.10672,0.007921,0.007921,0.007921
23,19855.2,1.34078,0.3507,0.16734,0.56875,0.36925,0.38168,0.20487,0.93177,0.43586,0.0977,0.007822,0.007822,0.007822
24,20563.4,1.31316,0.35529,0.1591,0.60366,0.40609,0.41309,0.22516,0.89555,0.43487,0.09363,0.007723,0.007723,0.007723
25,21271.3,1.29664,0.36261,0.157,0.54953,0.39047,0.39359,0.19605,0.89281,0.44883,0.09716,0.007624,0.007624,0.007624
26,21980.4,1.33843,0.35063,0.16199,0.59531,0.42222,0.43853,0.24783,0.80551,0.496,0.08349,0.007525,0.007525,0.007525
27,22689.9,1.27449,0.37415,0.15442,0.56823,0.40072,0.40478,0.21217,0.91768,0.44072,0.09217,0.007426,0.007426,0.007426
28,23397.4,1.33368,0.35203,0.15579,0.62401,0.43988,0.45562,0.25949,0.81695,0.46711,0.08442,0.007327,0.007327,0.007327
29,24102.7,1.28148,0.3679,0.14948,0.59452,0.43232,0.43664,0.24028,0.82396,0.48427,0.08747,0.007228,0.007228,0.007228
30,24814.4,1.27477,0.36819,0.15076,0.61965,0.42603,0.4368,0.24548,0.83978,0.46576,0.08182,0.007129,0.007129,0.007129
31,25521.5,1.29609,0.3606,0.15271,0.59731,0.37594,0.38102,0.18625,1.02597,0.4121,0.09805,0.00703,0.00703,0.00703
32,26352.2,1.27944,0.36603,0.14967,0.55477,0.36098,0.37316,0.17364,0.98137,0.44248,0.09316,0.006931,0.006931,0.006931
33,27059.3,1.26042,0.36935,0.14397,0.59027,0.41444,0.41351,0.20416,0.92299,0.44354,0.09332,0.006832,0.006832,0.006832
