epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,774.046,1.43055,0.67917,0.35742,0.54345,0.1524,0.13722,0.08112,1.04111,0.54331,0.16041,0.0033323,0.0033323,0.0033323
2,1517.76,1.39378,0.42491,0.23968,0.47626,0.1586,0.13789,0.06313,1.18269,0.43079,0.15878,0.00659965,0.00659965,0.00659965
3,2260.69,1.57038,0.33778,0.26919,0.37885,0.10135,0.08868,0.03021,1.34334,0.40367,0.20505,0.00980099,0.00980099,0.00980099
4,3016.27,1.63541,0.30835,0.27685,0.40582,0.20226,0.19704,0.07908,1.21811,0.41451,0.17194,0.009703,0.009703,0.009703
5,3767.26,1.53867,0.32291,0.24275,0.322,0.18656,0.18115,0.07945,1.19681,0.39618,0.16371,0.009604,0.009604,0.009604
6,4539.54,1.5329,0.31908,0.23478,0.55068,0.27738,0.26878,0.11617,1.03952,0.4321,0.13491,0.009505,0.009505,0.009505
7,5288.38,1.49965,0.32433,0.21656,0.3999,0.20421,0.19818,0.08693,1.22697,0.38839,0.14976,0.009406,0.009406,0.009406
8,6035.67,1.47874,0.32597,0.20388,0.56813,0.31417,0.34216,0.15754,1.03745,0.4181,0.12499,0.009307,0.009307,0.009307
9,6780.23,1.41461,0.34303,0.19011,0.36425,0.21896,0.22062,0.07871,1.20406,0.4079,0.13352,0.009208,0.009208,0.009208
10,7534.22,1.43694,0.33526,0.19084,0.47861,0.30299,0.29973,0.12796,1.08245,0.41683,0.12167,0.009109,0.009109,0.009109
11,9129.44,1.39348,0.34098,0.18059,0.51482,0.34425,0.33692,0.1617,1.02036,0.4296,0.12049,0.00901,0.00901,0.00901
12,10074.1,1.42251,0.3359,0.18055,0.5021,0.32876,0.32768,0.14187,1.02218,0.43103,0.11176,0.008911,0.008911,0.008911
13,10814.9,1.36658,0.35275,0.17203,0.47202,0.32918,0.33273,0.15196,0.99222,0.44286,0.10126,0.008812,0.008812,0.008812
14,11554.6,1.35377,0.35543,0.17038,0.53304,0.34488,0.34979,0.16832,1.00395,0.44706,0.11042,0.008713,0.008713,0.008713
15,12294.1,1.40686,0.33504,0.17762,0.54775,0.38424,0.39356,0.21223,0.93411,0.45286,0.10379,0.008614,0.008614,0.008614
16,13037.7,1.37285,0.34489,0.16909,0.55987,0.39369,0.39653,0.20617,0.92604,0.45257,0.10142,0.008515,0.008515,0.008515
17,13821.6,1.34781,0.34857,0.16506,0.53622,0.33779,0.34815,0.17172,1.01376,0.41768,0.11134,0.008416,0.008416,0.008416
18,14559.6,1.33171,0.35442,0.16113,0.54634,0.39625,0.40366,0.21219,0.89387,0.46839,0.09765,0.008317,0.008317,0.008317
19,15309.3,1.31802,0.35774,0.15598,0.5398,0.38986,0.40016,0.21153,0.90385,0.46612,0.09375,0.008218,0.008218,0.008218
20,16077.2,1.31379,0.3586,0.15605,0.5813,0.39083,0.39473,0.19356,0.95067,0.45059,0.10113,0.008119,0.008119,0.008119
21,16816.7,1.34411,0.34929,0.15471,0.56547,0.42235,0.4201,0.22924,0.86371,0.4649,0.09171,0.00802,0.00802,0.00802
22,17555.7,1.29222,0.36201,0.14964,0.52886,0.33983,0.3399,0.16343,1.07764,0.40071,0.10435,0.007921,0.007921,0.007921
23,18298.6,1.31077,0.35767,0.15532,0.59294,0.42759,0.4279,0.23455,0.86752,0.45124,0.08845,0.007822,0.007822,0.007822
