epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2762.89,1.0499,0.6029,0.19742,0.58431,0.35127,0.31767,0.17319,1.10848,0.49991,0.20706,0.00333306,0.00333306,0.00333306
2,5460.74,1.09496,0.43688,0.13863,0.53128,0.33429,0.31419,0.12533,1.21316,0.4351,0.1952,0.00660039,0.00660039,0.00660039
3,8159.7,1.26053,0.3859,0.16059,0.59434,0.34649,0.34917,0.1426,1.26003,0.41096,0.23856,0.00980173,0.00980173,0.00980173
4,10839,1.30813,0.3687,0.16452,0.59057,0.34364,0.35269,0.15548,1.25827,0.40074,0.20775,0.009703,0.009703,0.009703
5,13526.7,1.23251,0.38405,0.14847,0.5767,0.34691,0.34169,0.13839,1.25847,0.41307,0.20809,0.009604,0.009604,0.009604
6,16222.1,1.217,0.38046,0.1415,0.558,0.39316,0.38874,0.18842,1.12196,0.45389,0.19723,0.009505,0.009505,0.009505
7,18907.5,1.17612,0.38997,0.13364,0.54542,0.3734,0.37327,0.1815,1.11054,0.44603,0.17652,0.009406,0.009406,0.009406
8,21592.6,1.14854,0.39555,0.12825,0.60066,0.38105,0.38439,0.18368,1.15822,0.43871,0.17362,0.009307,0.009307,0.009307
9,24271,1.15772,0.38956,0.12734,0.61912,0.3926,0.39662,0.1957,1.1229,0.46354,0.18748,0.009208,0.009208,0.009208
10,26962.2,1.12005,0.39671,0.12108,0.63247,0.3978,0.39601,0.19402,1.09943,0.44221,0.18613,0.009109,0.009109,0.009109
11,29647.7,1.10631,0.3996,0.1181,0.60924,0.39762,0.39906,0.20576,1.10778,0.44596,0.17934,0.00901,0.00901,0.00901
12,32333.8,1.08437,0.40383,0.11421,0.62472,0.41391,0.41188,0.21654,1.09214,0.4657,0.17467,0.008911,0.008911,0.008911
13,35015.6,1.08226,0.4005,0.11222,0.66317,0.41304,0.42463,0.22223,1.13248,0.43472,0.20143,0.008812,0.008812,0.008812
14,37696.1,1.08333,0.39792,0.11165,0.64216,0.41491,0.42041,0.22105,1.14079,0.43242,0.21926,0.008713,0.008713,0.008713
15,40381.4,1.09648,0.39457,0.11238,0.64883,0.41483,0.41482,0.21903,1.11869,0.44139,0.20026,0.008614,0.008614,0.008614
16,43062.7,1.06591,0.40159,0.10794,0.64132,0.39463,0.39635,0.20366,1.15241,0.44384,0.19425,0.008515,0.008515,0.008515
17,45748.9,1.04098,0.40745,0.10393,0.60791,0.39766,0.39688,0.20606,1.1039,0.45721,0.19149,0.008416,0.008416,0.008416
18,48431.9,1.04351,0.40516,0.10415,0.61942,0.381,0.3803,0.19292,1.17297,0.44048,0.21293,0.008317,0.008317,0.008317
19,51119.4,1.02774,0.40771,0.10209,0.64867,0.396,0.39936,0.20813,1.16058,0.43358,0.20329,0.008218,0.008218,0.008218
20,53798.5,1.06029,0.40188,0.10629,0.65735,0.40197,0.40686,0.21512,1.19402,0.41342,0.21147,0.008119,0.008119,0.008119
21,56492.7,1.06626,0.39881,0.10711,0.66457,0.40274,0.4056,0.2184,1.15876,0.4299,0.21157,0.00802,0.00802,0.00802
22,59175.6,1.07705,0.40123,0.11083,0.64231,0.40254,0.3956,0.21118,1.12197,0.4347,0.21025,0.007921,0.007921,0.007921
23,61859.1,1.04707,0.4078,0.10411,0.62407,0.40351,0.39707,0.2128,1.10633,0.45203,0.20643,0.007822,0.007822,0.007822
24,64535.9,1.0224,0.40888,0.10097,0.62838,0.39575,0.3926,0.21001,1.11922,0.45066,0.20073,0.007723,0.007723,0.007723
25,67212.6,1.03255,0.40735,0.10118,0.63162,0.38029,0.38191,0.2028,1.16369,0.44961,0.21056,0.007624,0.007624,0.007624
26,69896.7,1.01226,0.40937,0.09836,0.64003,0.3842,0.38467,0.20278,1.19569,0.43924,0.22113,0.007525,0.007525,0.007525
27,72584.3,1.02215,0.40718,0.09984,0.65762,0.38951,0.38585,0.20578,1.17883,0.44198,0.21939,0.007426,0.007426,0.007426
28,75275.4,0.9804,0.41622,0.09349,0.65614,0.38953,0.3869,0.20694,1.16844,0.44405,0.21011,0.007327,0.007327,0.007327
29,77949.5,0.98336,0.41624,0.09425,0.65874,0.39107,0.38976,0.20989,1.15973,0.44259,0.2034,0.007228,0.007228,0.007228
30,80605.2,1.01632,0.40954,0.09956,0.65757,0.39087,0.3895,0.20919,1.17049,0.43266,0.20046,0.007129,0.007129,0.007129
31,83257.8,0.95859,0.42176,0.09046,0.65191,0.39533,0.39041,0.21021,1.17693,0.43131,0.20266,0.00703,0.00703,0.00703
32,85927.1,0.99487,0.41792,0.09536,0.66187,0.39074,0.39004,0.21063,1.16604,0.43143,0.20251,0.006931,0.006931,0.006931
33,88581.2,1.03187,0.41447,0.09974,0.66859,0.39011,0.3862,0.20782,1.15525,0.43137,0.19895,0.006832,0.006832,0.006832
34,91233.3,1.03988,0.41824,0.10027,0.66258,0.39154,0.38465,0.20539,1.15516,0.43001,0.19678,0.006733,0.006733,0.006733
35,93892.4,1.0921,0.40727,0.10894,0.65335,0.396,0.38659,0.20569,1.16256,0.42391,0.19503,0.006634,0.006634,0.006634
36,96546.4,0.9251,0.42711,0.08389,0.67167,0.39824,0.38719,0.20532,1.16428,0.4238,0.19375,0.006535,0.006535,0.006535
37,99207.9,0.91755,0.42825,0.0827,0.67941,0.3949,0.3873,0.20521,1.16489,0.42736,0.19357,0.006436,0.006436,0.006436
38,101866,0.94841,0.42235,0.08707,0.68429,0.39352,0.38482,0.20303,1.16696,0.43074,0.19282,0.006337,0.006337,0.006337
39,104524,0.96677,0.42376,0.09061,0.68062,0.39192,0.38438,0.20275,1.16804,0.43226,0.19335,0.006238,0.006238,0.006238
40,107188,0.91878,0.42618,0.08154,0.67175,0.39216,0.38376,0.20204,1.16983,0.43434,0.19306,0.006139,0.006139,0.006139
41,109843,0.89441,0.42724,0.07951,0.6772,0.39062,0.38436,0.20247,1.17144,0.4362,0.19309,0.00604,0.00604,0.00604
42,112498,0.87618,0.43426,0.0784,0.68225,0.39041,0.38391,0.20143,1.17746,0.43707,0.19327,0.005941,0.005941,0.005941
43,115149,0.96292,0.42072,0.08775,0.67745,0.38917,0.38206,0.19943,1.18563,0.43679,0.19481,0.005842,0.005842,0.005842
44,117809,0.96277,0.4242,0.08736,0.67838,0.38818,0.38078,0.19892,1.18609,0.43766,0.19601,0.005743,0.005743,0.005743
45,120470,0.97966,0.42393,0.08882,0.67941,0.3874,0.38017,0.19903,1.18802,0.43756,0.19647,0.005644,0.005644,0.005644
46,123133,1.05771,0.4149,0.102,0.68098,0.38749,0.37894,0.19719,1.19379,0.43741,0.19683,0.005545,0.005545,0.005545
47,125795,0.93208,0.42677,0.08357,0.67921,0.38722,0.37721,0.1961,1.19833,0.43728,0.19726,0.005446,0.005446,0.005446
48,128463,1.16623,0.38767,0.12947,0.68024,0.38551,0.37595,0.19249,1.2103,0.43523,0.19919,0.005347,0.005347,0.005347
49,131112,1.00691,0.41647,0.09599,0.67818,0.3849,0.37567,0.19243,1.21236,0.43523,0.2,0.005248,0.005248,0.005248
50,133773,1.03764,0.4144,0.09514,0.67298,0.38525,0.37516,0.19168,1.21457,0.43522,0.202,0.005149,0.005149,0.005149
51,136435,0.97433,0.42548,0.08785,0.67137,0.38387,0.37349,0.18953,1.22307,0.43382,0.20434,0.00505,0.00505,0.00505
52,139094,1.04655,0.4117,0.09488,0.67253,0.38436,0.3726,0.18903,1.22693,0.43361,0.20498,0.004951,0.004951,0.004951
53,141754,0.88541,0.4344,0.0814,0.67591,0.3826,0.37149,0.1873,1.23703,0.43277,0.20649,0.004852,0.004852,0.004852
54,144409,0.99423,0.415,0.08953,0.67727,0.38168,0.37107,0.18776,1.24126,0.43255,0.20834,0.004753,0.004753,0.004753
55,147066,1.01834,0.41651,0.0956,0.6777,0.38155,0.37083,0.18746,1.2483,0.43189,0.20871,0.004654,0.004654,0.004654
56,149727,1.02067,0.41693,0.09468,0.68007,0.37975,0.36992,0.18635,1.25855,0.43073,0.21071,0.004555,0.004555,0.004555
57,152388,0.89809,0.4361,0.08266,0.67901,0.37997,0.36983,0.18741,1.26269,0.43147,0.21043,0.004456,0.004456,0.004456
58,155051,0.84136,0.43443,0.07162,0.67913,0.37871,0.36893,0.18556,1.27382,0.43108,0.21329,0.004357,0.004357,0.004357
59,157715,0.89644,0.42759,0.07545,0.68135,0.37632,0.36834,0.18429,1.28169,0.43066,0.21611,0.004258,0.004258,0.004258
60,160378,1.05723,0.40715,0.10388,0.67497,0.37845,0.36778,0.18574,1.28694,0.43009,0.21642,0.004159,0.004159,0.004159
61,163045,0.99448,0.42281,0.088,0.68028,0.37559,0.36652,0.18667,1.29206,0.42964,0.21824,0.00406,0.00406,0.00406
62,165707,1.06255,0.4067,0.1006,0.68042,0.37274,0.36488,0.18869,1.29447,0.42986,0.21929,0.003961,0.003961,0.003961
63,168373,0.98836,0.4112,0.09337,0.67705,0.37109,0.36421,0.18782,1.30503,0.42869,0.22203,0.003862,0.003862,0.003862
64,171034,0.99921,0.40985,0.092,0.68008,0.36948,0.36251,0.18723,1.3152,0.42757,0.22417,0.003763,0.003763,0.003763
65,173695,0.73977,0.44726,0.05957,0.68694,0.36704,0.36211,0.18738,1.32576,0.42743,0.22729,0.003664,0.003664,0.003664
66,176360,0.75076,0.43796,0.06156,0.6862,0.36578,0.36138,0.18654,1.33699,0.42844,0.23014,0.003565,0.003565,0.003565
67,179023,1.06217,0.39765,0.10281,0.68712,0.36382,0.36014,0.18538,1.34599,0.42692,0.23166,0.003466,0.003466,0.003466
68,181690,1.09159,0.39459,0.10271,0.67919,0.36256,0.35883,0.185,1.3545,0.42543,0.23331,0.003367,0.003367,0.003367
69,184354,1.03395,0.40977,0.09602,0.67064,0.35896,0.35704,0.18463,1.35793,0.42481,0.235,0.003268,0.003268,0.003268
70,187023,0.99302,0.41727,0.08836,0.66623,0.35961,0.35682,0.18447,1.3616,0.42427,0.23684,0.003169,0.003169,0.003169
71,189683,1.00729,0.41743,0.08984,0.66805,0.35743,0.35821,0.1864,1.36683,0.42479,0.23809,0.00307,0.00307,0.00307
72,192346,0.99528,0.40882,0.08711,0.67216,0.35591,0.35835,0.18662,1.37303,0.42501,0.24016,0.002971,0.002971,0.002971
73,195010,0.9336,0.41339,0.0832,0.6685,0.35229,0.3557,0.1853,1.37625,0.42552,0.24135,0.002872,0.002872,0.002872
74,197679,0.91403,0.42552,0.07743,0.66988,0.3502,0.35615,0.18663,1.38158,0.42619,0.24389,0.002773,0.002773,0.002773
75,200342,0.92074,0.41724,0.09003,0.67128,0.35155,0.35835,0.18734,1.38779,0.42745,0.24624,0.002674,0.002674,0.002674
76,202997,0.75563,0.43347,0.06173,0.67228,0.35128,0.35833,0.18791,1.38941,0.42978,0.24771,0.002575,0.002575,0.002575
