epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2858.65,1.00861,0.60948,0.17924,0.57394,0.36092,0.30834,0.16564,1.14634,0.49819,0.23215,0.00333306,0.00333306,0.00333306
2,5660.13,1.07887,0.43334,0.13046,0.48685,0.37415,0.34604,0.1784,1.11852,0.4738,0.19625,0.00660039,0.00660039,0.00660039
3,8447.08,1.23962,0.38655,0.15177,0.53074,0.32159,0.315,0.15003,1.25061,0.433,0.22684,0.00980173,0.00980173,0.00980173
4,11229.3,1.29532,0.36858,0.16068,0.51243,0.3508,0.32849,0.13395,1.23506,0.43952,0.22063,0.009703,0.009703,0.009703
5,14012.2,1.2317,0.38251,0.14587,0.59095,0.37954,0.38152,0.17045,1.17288,0.42902,0.19083,0.009604,0.009604,0.009604
6,16797.8,1.18415,0.38795,0.13413,0.58161,0.38448,0.37857,0.16957,1.19406,0.42622,0.24299,0.009505,0.009505,0.009505
7,19580.8,1.15042,0.39366,0.12729,0.5165,0.34446,0.33024,0.14147,1.2433,0.40902,0.24759,0.009406,0.009406,0.009406
8,22361.2,1.12585,0.39678,0.12199,0.60549,0.35774,0.35946,0.16349,1.18401,0.43635,0.23713,0.009307,0.009307,0.009307
9,25140.8,1.12697,0.39477,0.12119,0.56774,0.38864,0.38012,0.18556,1.13422,0.4631,0.18856,0.009208,0.009208,0.009208
10,27916.7,1.11813,0.39422,0.11834,0.59132,0.4062,0.4039,0.19473,1.15019,0.45595,0.22014,0.009109,0.009109,0.009109
11,30698.3,1.09175,0.39937,0.11405,0.62481,0.37057,0.38562,0.18988,1.16395,0.48067,0.2097,0.00901,0.00901,0.00901
12,33482.5,1.11032,0.39314,0.11536,0.61095,0.38641,0.39772,0.2019,1.09414,0.47603,0.18065,0.008911,0.008911,0.008911
13,36264.2,1.07337,0.40242,0.10892,0.64122,0.38677,0.39392,0.20468,1.13649,0.45605,0.19806,0.008812,0.008812,0.008812
14,39047.3,1.07693,0.40068,0.10993,0.60088,0.39501,0.39856,0.21377,1.11033,0.46453,0.20357,0.008713,0.008713,0.008713
15,41826.9,1.06299,0.405,0.10826,0.57226,0.42098,0.40477,0.21777,1.10073,0.47957,0.21221,0.008614,0.008614,0.008614
16,44604.1,1.05136,0.40442,0.10519,0.55628,0.4163,0.40164,0.21251,1.13007,0.45242,0.19642,0.008515,0.008515,0.008515
17,47386.1,1.04723,0.40241,0.10272,0.57587,0.40388,0.39795,0.21677,1.11387,0.45456,0.20096,0.008416,0.008416,0.008416
18,50166.3,1.03795,0.40444,0.10195,0.58957,0.41483,0.40957,0.21903,1.13653,0.43968,0.20665,0.008317,0.008317,0.008317
19,52944.7,1.02132,0.40784,0.10055,0.65192,0.41913,0.41982,0.21964,1.15148,0.43683,0.20604,0.008218,0.008218,0.008218
20,55721.1,1.04547,0.40117,0.10239,0.63669,0.42626,0.42707,0.22995,1.12976,0.44275,0.19476,0.008119,0.008119,0.008119
21,58504,1.01016,0.41113,0.09739,0.65686,0.4057,0.41847,0.22752,1.12414,0.44534,0.20257,0.00802,0.00802,0.00802
22,61280.2,1.02813,0.40263,0.09957,0.64389,0.42315,0.42398,0.2281,1.14459,0.43486,0.20722,0.007921,0.007921,0.007921
23,64058.1,1.01958,0.40474,0.09689,0.64849,0.4109,0.41571,0.2287,1.13013,0.44369,0.20046,0.007822,0.007822,0.007822
24,66843,1.02915,0.40341,0.10064,0.6548,0.4009,0.41073,0.22485,1.14074,0.44399,0.20397,0.007723,0.007723,0.007723
25,69625.1,0.98842,0.41141,0.09342,0.65234,0.39619,0.40214,0.21733,1.13018,0.45334,0.19455,0.007624,0.007624,0.007624
26,72405.8,0.98358,0.41197,0.0932,0.6383,0.39856,0.40678,0.21751,1.11924,0.45696,0.19098,0.007525,0.007525,0.007525
27,75187.3,1.00935,0.40744,0.0979,0.63964,0.39235,0.39945,0.21558,1.13088,0.45087,0.18969,0.007426,0.007426,0.007426
28,77968.3,1.03676,0.40405,0.10296,0.64485,0.39553,0.40357,0.21781,1.12142,0.45419,0.19327,0.007327,0.007327,0.007327
29,80747.3,1.00314,0.40889,0.09582,0.6424,0.39938,0.40569,0.22025,1.11701,0.45132,0.19704,0.007228,0.007228,0.007228
30,83521.5,0.97,0.41042,0.09078,0.6413,0.40193,0.40774,0.22308,1.10849,0.45066,0.19101,0.007129,0.007129,0.007129
31,86294.7,0.96822,0.41794,0.09111,0.6292,0.40188,0.40735,0.22378,1.1102,0.45097,0.18819,0.00703,0.00703,0.00703
32,89075.1,0.94141,0.41836,0.08651,0.61196,0.40407,0.40623,0.22137,1.12012,0.4466,0.19082,0.006931,0.006931,0.006931
33,91850.2,1.01326,0.40219,0.10034,0.61828,0.39421,0.40361,0.21967,1.12045,0.44529,0.1883,0.006832,0.006832,0.006832
34,94641.5,0.97185,0.41274,0.09044,0.63249,0.39675,0.40561,0.21883,1.11779,0.44637,0.18612,0.006733,0.006733,0.006733
35,97429.9,0.9464,0.41648,0.0881,0.6454,0.39565,0.40442,0.21687,1.11963,0.44778,0.18683,0.006634,0.006634,0.006634
36,100218,0.93359,0.41913,0.08449,0.65458,0.39816,0.40501,0.21726,1.1239,0.44767,0.186,0.006535,0.006535,0.006535
37,103004,0.91675,0.41982,0.0817,0.66529,0.39832,0.40343,0.21709,1.12664,0.44988,0.18819,0.006436,0.006436,0.006436
38,105791,0.89117,0.42468,0.07835,0.66762,0.39856,0.40283,0.21784,1.12668,0.4505,0.19062,0.006337,0.006337,0.006337
39,108578,0.92646,0.42091,0.08426,0.6813,0.39921,0.4026,0.2182,1.12803,0.45096,0.19143,0.006238,0.006238,0.006238
40,111360,0.92231,0.4173,0.08313,0.68847,0.3993,0.40273,0.21875,1.13016,0.45013,0.1918,0.006139,0.006139,0.006139
41,114150,0.92156,0.41887,0.08247,0.68439,0.39858,0.4024,0.21831,1.13207,0.44986,0.19181,0.00604,0.00604,0.00604
42,116938,0.91549,0.42107,0.08246,0.68757,0.39932,0.40354,0.21932,1.13172,0.45035,0.19295,0.005941,0.005941,0.005941
43,119721,0.89703,0.42735,0.08086,0.69198,0.39932,0.40321,0.21959,1.13441,0.45055,0.19322,0.005842,0.005842,0.005842
44,122503,0.87706,0.42916,0.07716,0.69231,0.39753,0.40278,0.21973,1.13597,0.45057,0.19336,0.005743,0.005743,0.005743
45,125282,0.85793,0.42939,0.07362,0.68981,0.39764,0.40247,0.21957,1.14182,0.44979,0.19518,0.005644,0.005644,0.005644
46,128066,0.90534,0.42295,0.08288,0.6914,0.39545,0.40174,0.21902,1.14367,0.45141,0.19506,0.005545,0.005545,0.005545
47,130852,0.83799,0.43182,0.0711,0.6932,0.39465,0.40182,0.21938,1.14703,0.45267,0.1943,0.005446,0.005446,0.005446
48,133634,0.82936,0.4313,0.06979,0.69309,0.39494,0.4015,0.21901,1.14845,0.45402,0.19423,0.005347,0.005347,0.005347
49,136416,0.85066,0.42935,0.07408,0.69088,0.39477,0.40135,0.21916,1.15122,0.45429,0.19379,0.005248,0.005248,0.005248
50,139197,0.83969,0.43138,0.07137,0.69086,0.39438,0.40217,0.21988,1.15304,0.45475,0.19432,0.005149,0.005149,0.005149
51,141983,0.82801,0.42833,0.07055,0.69647,0.39434,0.40291,0.2202,1.15728,0.45502,0.19484,0.00505,0.00505,0.00505
52,144760,0.84463,0.42909,0.07441,0.69449,0.39407,0.40328,0.22036,1.16182,0.45524,0.19424,0.004951,0.004951,0.004951
53,147536,0.8459,0.42673,0.07375,0.69874,0.39256,0.40334,0.22033,1.1661,0.45537,0.19452,0.004852,0.004852,0.004852
54,150322,0.90624,0.41229,0.08793,0.69913,0.39288,0.40331,0.22071,1.16783,0.4545,0.19373,0.004753,0.004753,0.004753
55,153106,0.94132,0.40874,0.09507,0.69865,0.39453,0.40446,0.22117,1.16914,0.45424,0.19246,0.004654,0.004654,0.004654
56,155888,0.95424,0.40962,0.09675,0.69946,0.39551,0.40594,0.22268,1.16795,0.45496,0.19031,0.004555,0.004555,0.004555
57,158667,0.93035,0.42007,0.09339,0.69752,0.395,0.40666,0.22337,1.16707,0.45508,0.18864,0.004456,0.004456,0.004456
58,161447,0.91057,0.42628,0.09019,0.69781,0.39484,0.40593,0.2229,1.16729,0.45582,0.18772,0.004357,0.004357,0.004357
59,164222,0.93285,0.41642,0.094,0.69846,0.3937,0.40502,0.22194,1.16603,0.45665,0.18643,0.004258,0.004258,0.004258
60,167000,0.89779,0.42029,0.08801,0.69883,0.39303,0.40462,0.22182,1.16324,0.45841,0.18506,0.004159,0.004159,0.004159
61,169785,0.92805,0.41753,0.09591,0.69772,0.39094,0.40376,0.22144,1.1611,0.45948,0.18347,0.00406,0.00406,0.00406
62,172560,0.85859,0.43245,0.08149,0.69654,0.39163,0.40322,0.22156,1.16006,0.46072,0.18265,0.003961,0.003961,0.003961
63,175337,0.86344,0.42716,0.08232,0.69733,0.39006,0.40224,0.221,1.16111,0.46218,0.18264,0.003862,0.003862,0.003862
64,178114,0.87094,0.42555,0.08594,0.69509,0.3902,0.40061,0.22001,1.16113,0.46386,0.18238,0.003763,0.003763,0.003763
65,180895,0.86168,0.4295,0.08392,0.69081,0.38965,0.39944,0.21917,1.16282,0.46526,0.1822,0.003664,0.003664,0.003664
