epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1170.29,1.48537,0.98542,1.06161,0.52596,0.42667,0.41666,0.22962,1.5755,1.35862,1.08612,0.00333278,0.00333278,0.00333278
2,2354.15,1.34955,0.72032,1.00853,0.59136,0.4315,0.44998,0.26259,1.5679,1.37471,1.0825,0.00660012,0.00660012,0.00660012
3,3552,1.32765,0.69022,1.00282,0.50397,0.37779,0.38646,0.20658,1.64354,1.55835,1.1223,0.00980146,0.00980146,0.00980146
4,4752.19,1.29416,0.66463,0.99552,0.56942,0.35948,0.38057,0.21068,1.63843,1.61771,1.10206,0.009703,0.009703,0.009703
5,5894.77,1.24099,0.62183,0.98166,0.58368,0.37924,0.39156,0.22248,1.59782,1.4626,1.09352,0.009604,0.009604,0.009604
6,8884.39,1.19866,0.59129,0.96982,0.50064,0.36525,0.37517,0.20981,1.62876,1.57335,1.11186,0.009505,0.009505,0.009505
7,10026,1.16693,0.56765,0.96142,0.49027,0.37181,0.37123,0.20386,1.60496,1.59328,1.10297,0.009406,0.009406,0.009406
8,11167.8,1.13638,0.54993,0.95233,0.54765,0.36048,0.38189,0.21673,1.61245,1.52715,1.11128,0.009307,0.009307,0.009307
9,12309.3,1.11489,0.53524,0.94481,0.58608,0.34823,0.38431,0.22012,1.63198,1.54202,1.12233,0.009208,0.009208,0.009208
10,13467.5,1.09536,0.52452,0.94054,0.49742,0.34074,0.37063,0.21163,1.62561,1.53218,1.11851,0.009109,0.009109,0.009109
11,17151.1,1.07734,0.51332,0.935,0.53123,0.37226,0.39335,0.2287,1.61471,1.41281,1.11575,0.00901,0.00901,0.00901
12,18578.6,1.06278,0.50495,0.93128,0.52917,0.36265,0.38647,0.21939,1.68225,1.62783,1.14619,0.008911,0.008911,0.008911
13,19720.1,1.04444,0.49424,0.92636,0.5294,0.3548,0.36897,0.20685,1.65235,1.59157,1.14265,0.008812,0.008812,0.008812
14,20861.3,1.03189,0.48669,0.92357,0.51155,0.35185,0.3644,0.20511,1.65974,1.59552,1.14277,0.008713,0.008713,0.008713
15,22003.6,1.02127,0.48226,0.92104,0.51227,0.36408,0.37641,0.21691,1.59638,1.37035,1.1232,0.008614,0.008614,0.008614
16,23185.8,1.00792,0.47493,0.91728,0.51532,0.36966,0.37903,0.21497,1.65802,1.44558,1.13503,0.008515,0.008515,0.008515
17,27406.8,0.99879,0.47062,0.91405,0.50249,0.37312,0.38351,0.21828,1.64401,1.47772,1.13637,0.008416,0.008416,0.008416
18,29513.8,0.98792,0.46471,0.91044,0.51015,0.35533,0.3749,0.21459,1.63198,1.48814,1.12828,0.008317,0.008317,0.008317
19,39207.5,0.978,0.45942,0.90764,0.47814,0.34838,0.36765,0.20998,1.65747,1.54393,1.13269,0.008218,0.008218,0.008218
20,40557.1,0.96922,0.45491,0.9063,0.49593,0.34516,0.36408,0.20742,1.65993,1.56932,1.1362,0.008119,0.008119,0.008119
21,41700,0.96176,0.45183,0.90351,0.50264,0.33504,0.36195,0.20819,1.63852,1.53908,1.12766,0.00802,0.00802,0.00802
22,43106.9,0.95365,0.4476,0.90056,0.50709,0.34004,0.36831,0.21145,1.65932,1.57901,1.13366,0.007921,0.007921,0.007921
23,49560.1,0.94554,0.44476,0.9002,0.5124,0.35607,0.37518,0.21574,1.65414,1.57468,1.13922,0.007822,0.007822,0.007822
24,50714.5,0.93927,0.44028,0.89829,0.51226,0.34976,0.37477,0.21446,1.66367,1.56858,1.145,0.007723,0.007723,0.007723
25,51855.4,0.93145,0.43721,0.89541,0.5099,0.3452,0.37442,0.21496,1.67771,1.59756,1.14906,0.007624,0.007624,0.007624
26,53927.8,0.92343,0.43335,0.89417,0.52648,0.34535,0.37751,0.21896,1.66975,1.59763,1.15354,0.007525,0.007525,0.007525
27,55070,0.91507,0.42914,0.89144,0.51945,0.34074,0.37687,0.21979,1.66221,1.56699,1.14588,0.007426,0.007426,0.007426
28,56211.2,0.91019,0.42699,0.8895,0.51695,0.33771,0.38005,0.22264,1.65727,1.54665,1.14831,0.007327,0.007327,0.007327
29,57353.2,0.904,0.42425,0.88794,0.50607,0.33763,0.37856,0.22153,1.66834,1.5389,1.15061,0.007228,0.007228,0.007228
30,58496.1,0.89927,0.4221,0.88728,0.49808,0.3417,0.37206,0.21731,1.66679,1.52983,1.15062,0.007129,0.007129,0.007129
31,59650.6,0.89686,0.42087,0.88731,0.49672,0.33938,0.36742,0.21354,1.66823,1.54087,1.15645,0.00703,0.00703,0.00703
32,61175.1,0.88958,0.41742,0.88476,0.49733,0.33889,0.36533,0.21169,1.67525,1.56655,1.16112,0.006931,0.006931,0.006931
33,63394.8,0.88476,0.41527,0.88426,0.49147,0.3375,0.36499,0.21069,1.68307,1.60343,1.16473,0.006832,0.006832,0.006832
34,65226.4,0.88119,0.4131,0.8839,0.49712,0.33539,0.36304,0.20941,1.68402,1.62148,1.16539,0.006733,0.006733,0.006733
35,70777.7,0.87479,0.41012,0.88206,0.4943,0.33538,0.36089,0.20818,1.68226,1.62823,1.16599,0.006634,0.006634,0.006634
36,72776.4,0.87083,0.40878,0.87969,0.48998,0.33373,0.35833,0.20682,1.68163,1.62961,1.166,0.006535,0.006535,0.006535
37,73917.7,0.86494,0.40617,0.87992,0.4859,0.33485,0.3573,0.20594,1.68112,1.63697,1.16479,0.006436,0.006436,0.006436
38,77818.4,0.86119,0.40404,0.8772,0.4811,0.33204,0.35616,0.20519,1.6803,1.63073,1.16369,0.006337,0.006337,0.006337
39,78940.6,0.85646,0.40267,0.87483,0.4813,0.33025,0.35645,0.2058,1.68012,1.62368,1.16368,0.006238,0.006238,0.006238
40,80689.8,0.85317,0.40049,0.87486,0.48082,0.32943,0.3562,0.2055,1.68228,1.62495,1.16451,0.006139,0.006139,0.006139
41,81811.2,0.85141,0.39984,0.87692,0.48371,0.32994,0.356,0.2055,1.68345,1.63376,1.16539,0.00604,0.00604,0.00604
42,83244.2,0.84601,0.39729,0.87685,0.48147,0.32878,0.35588,0.20547,1.68239,1.63123,1.16595,0.005941,0.005941,0.005941
43,85074.3,0.84158,0.39553,0.8744,0.484,0.32947,0.35578,0.20559,1.68372,1.63473,1.16715,0.005842,0.005842,0.005842
44,86571.8,0.83649,0.39264,0.8717,0.48661,0.32826,0.3557,0.20544,1.68387,1.64153,1.16773,0.005743,0.005743,0.005743
45,87691.8,0.83319,0.3913,0.87024,0.48633,0.32562,0.35575,0.20554,1.68391,1.64637,1.16797,0.005644,0.005644,0.005644
46,89609.3,0.82761,0.389,0.87,0.48922,0.32757,0.35628,0.20568,1.68392,1.65365,1.16863,0.005545,0.005545,0.005545
47,91101.5,0.82595,0.3886,0.86864,0.48723,0.32538,0.35655,0.20605,1.68355,1.65758,1.16879,0.005446,0.005446,0.005446
48,92276.4,0.82251,0.38626,0.86694,0.48817,0.32457,0.35673,0.20613,1.68369,1.66147,1.16905,0.005347,0.005347,0.005347
49,93548.3,0.81777,0.38419,0.86738,0.48657,0.32418,0.35639,0.206,1.68345,1.66673,1.16916,0.005248,0.005248,0.005248
50,94884.8,0.81727,0.38343,0.86736,0.48859,0.32364,0.35604,0.20562,1.68333,1.66835,1.16967,0.005149,0.005149,0.005149
51,98492.7,0.81099,0.38135,0.86695,0.48583,0.32428,0.35583,0.20555,1.68289,1.67091,1.16982,0.00505,0.00505,0.00505
52,99612.1,0.80597,0.37942,0.86458,0.48855,0.32252,0.35608,0.20583,1.6822,1.67179,1.1696,0.004951,0.004951,0.004951
53,100731,0.80413,0.37817,0.86462,0.49037,0.32278,0.35596,0.20567,1.68135,1.67379,1.16942,0.004852,0.004852,0.004852
54,101849,0.79982,0.37669,0.86238,0.48858,0.32094,0.35633,0.20584,1.68097,1.67723,1.16943,0.004753,0.004753,0.004753
55,102968,0.79952,0.37586,0.86314,0.4869,0.32041,0.35616,0.20577,1.68079,1.68097,1.16984,0.004654,0.004654,0.004654
56,104098,0.79125,0.37259,0.86156,0.48637,0.32036,0.35602,0.20568,1.68092,1.68837,1.17025,0.004555,0.004555,0.004555
57,105216,0.78981,0.37203,0.86163,0.48613,0.32014,0.35602,0.20568,1.68086,1.69514,1.17091,0.004456,0.004456,0.004456
58,106335,0.78633,0.36989,0.86049,0.48675,0.31987,0.35634,0.20573,1.68108,1.69633,1.17104,0.004357,0.004357,0.004357
59,107459,0.7821,0.36823,0.85972,0.48829,0.31963,0.35615,0.2057,1.68096,1.70131,1.17144,0.004258,0.004258,0.004258
60,108681,0.78185,0.36803,0.85951,0.48814,0.31895,0.35591,0.20553,1.68015,1.70318,1.17177,0.004159,0.004159,0.004159
61,109802,0.77521,0.36502,0.8573,0.48844,0.31847,0.35589,0.20562,1.67909,1.70045,1.17176,0.00406,0.00406,0.00406
62,110933,0.77486,0.36436,0.85841,0.49023,0.3183,0.35567,0.20555,1.67871,1.70346,1.17178,0.003961,0.003961,0.003961
63,112072,0.76794,0.36174,0.85608,0.49085,0.31745,0.35509,0.2055,1.6786,1.70872,1.17216,0.003862,0.003862,0.003862
64,113232,0.76723,0.36098,0.85725,0.49083,0.31636,0.3546,0.20529,1.67783,1.71124,1.17254,0.003763,0.003763,0.003763
65,115104,0.76399,0.35905,0.85533,0.49081,0.31623,0.35424,0.20513,1.67749,1.71323,1.17282,0.003664,0.003664,0.003664
66,116791,0.75882,0.35704,0.85366,0.49163,0.31553,0.35383,0.20525,1.67674,1.71642,1.17295,0.003565,0.003565,0.003565
67,119138,0.7556,0.35627,0.85371,0.49086,0.31489,0.35306,0.20478,1.67624,1.72062,1.17294,0.003466,0.003466,0.003466
68,120259,0.75253,0.35525,0.85123,0.49074,0.31481,0.35254,0.20441,1.67572,1.7237,1.17279,0.003367,0.003367,0.003367
69,121476,0.75061,0.35371,0.85304,0.49081,0.3145,0.3521,0.20404,1.67524,1.72449,1.17271,0.003268,0.003268,0.003268
