epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1190.15,1.43145,0.92114,1.04195,0.48069,0.40522,0.40657,0.22127,1.58094,1.42067,1.07063,0.00333278,0.00333278,0.00333278
2,2303.5,1.30599,0.68223,0.99526,0.49325,0.38478,0.40028,0.21715,1.58246,1.49203,1.07839,0.00660012,0.00660012,0.00660012
3,6822.02,1.28828,0.65926,0.99195,0.50493,0.38461,0.3824,0.20911,1.5822,1.31913,1.09253,0.00980146,0.00980146,0.00980146
4,7930.16,1.2596,0.63804,0.9857,0.4596,0.35157,0.36609,0.20203,1.672,1.61263,1.1205,0.009703,0.009703,0.009703
5,9829.23,1.20324,0.59719,0.97162,0.45875,0.39305,0.36695,0.20144,1.65387,1.57428,1.11415,0.009604,0.009604,0.009604
6,10938.7,1.16547,0.56864,0.96187,0.5245,0.39828,0.38774,0.2189,1.64863,1.56513,1.12809,0.009505,0.009505,0.009505
7,12046.6,1.12976,0.54742,0.95206,0.53601,0.41458,0.41565,0.23036,1.65641,1.47376,1.11778,0.009406,0.009406,0.009406
8,13178.3,1.10346,0.528,0.94495,0.46871,0.38598,0.3837,0.21613,1.66571,1.57977,1.13626,0.009307,0.009307,0.009307
9,14287.9,1.07734,0.51427,0.93654,0.46544,0.36431,0.36878,0.20447,1.643,1.53613,1.11352,0.009208,0.009208,0.009208
10,15396.8,1.05955,0.50335,0.93165,0.50297,0.35567,0.36914,0.20303,1.67264,1.58976,1.12667,0.009109,0.009109,0.009109
11,16505.8,1.04074,0.49301,0.9275,0.48354,0.34286,0.35011,0.19496,1.64663,1.59058,1.12341,0.00901,0.00901,0.00901
12,17615.4,1.02716,0.4852,0.92242,0.53799,0.36514,0.37442,0.21145,1.65207,1.65646,1.1281,0.008911,0.008911,0.008911
13,18724,1.00848,0.47605,0.91821,0.48439,0.35434,0.36436,0.20398,1.66734,1.53814,1.13341,0.008812,0.008812,0.008812
14,20323,0.99668,0.46987,0.91407,0.50237,0.35596,0.37468,0.21217,1.68503,1.64697,1.12857,0.008713,0.008713,0.008713
15,22164.5,0.98485,0.46391,0.91181,0.49325,0.3594,0.3548,0.1972,1.69325,1.69662,1.14534,0.008614,0.008614,0.008614
16,23272.8,0.97241,0.45749,0.90781,0.48639,0.37118,0.37142,0.20594,1.70246,1.6935,1.14401,0.008515,0.008515,0.008515
17,26182.4,0.96095,0.4519,0.90491,0.51217,0.36184,0.38081,0.21404,1.67012,1.59787,1.13838,0.008416,0.008416,0.008416
18,27291.2,0.95286,0.44823,0.90382,0.47185,0.36295,0.36585,0.20687,1.67693,1.59307,1.14134,0.008317,0.008317,0.008317
19,28427.6,0.94186,0.44265,0.89928,0.4867,0.35608,0.37314,0.20966,1.69146,1.64472,1.14643,0.008218,0.008218,0.008218
20,29536.6,0.93263,0.43816,0.8979,0.49734,0.34625,0.3665,0.20383,1.66871,1.75452,1.13929,0.008119,0.008119,0.008119
21,30646.3,0.92394,0.4331,0.89613,0.50398,0.37452,0.38671,0.21578,1.68595,1.69268,1.1464,0.00802,0.00802,0.00802
22,31776.4,0.91795,0.4308,0.89492,0.51805,0.36637,0.37553,0.21082,1.66408,1.72528,1.1315,0.007921,0.007921,0.007921
23,32886.5,0.91112,0.42757,0.89239,0.5104,0.35251,0.37125,0.20877,1.68263,1.74997,1.14349,0.007822,0.007822,0.007822
24,34001.2,0.9035,0.42324,0.89046,0.51026,0.34254,0.36619,0.20553,1.6712,1.76673,1.14322,0.007723,0.007723,0.007723
25,35111.2,0.89398,0.41941,0.88778,0.51243,0.34212,0.37008,0.20751,1.66193,1.77958,1.14342,0.007624,0.007624,0.007624
26,36219.4,0.88988,0.41791,0.88939,0.51043,0.35312,0.37333,0.20967,1.6682,1.7691,1.15103,0.007525,0.007525,0.007525
27,37348.5,0.88291,0.41397,0.88531,0.5065,0.35044,0.37175,0.20834,1.67434,1.7708,1.15092,0.007426,0.007426,0.007426
28,38458,0.87699,0.41146,0.88403,0.5165,0.34741,0.36969,0.20496,1.68205,1.78982,1.15147,0.007327,0.007327,0.007327
29,39571.4,0.8697,0.40848,0.88192,0.52019,0.34408,0.36732,0.20247,1.67656,1.80963,1.15438,0.007228,0.007228,0.007228
30,40754.1,0.86717,0.40692,0.88175,0.51465,0.34293,0.36505,0.20139,1.68465,1.80865,1.15817,0.007129,0.007129,0.007129
31,41862.6,0.85722,0.40194,0.87948,0.51831,0.34285,0.36589,0.20241,1.68486,1.799,1.16114,0.00703,0.00703,0.00703
32,45391.3,0.85456,0.40102,0.87791,0.52051,0.3385,0.3646,0.20184,1.6851,1.78047,1.16425,0.006931,0.006931,0.006931
33,49186.1,0.84783,0.39827,0.8767,0.52028,0.33894,0.36517,0.20255,1.68508,1.78428,1.16453,0.006832,0.006832,0.006832
34,50298.9,0.84385,0.39637,0.87525,0.52095,0.33612,0.36257,0.20136,1.68601,1.79281,1.1648,0.006733,0.006733,0.006733
35,51812.2,0.83976,0.39415,0.87354,0.51207,0.33915,0.36156,0.20178,1.68798,1.79738,1.16496,0.006634,0.006634,0.006634
36,52927.1,0.83583,0.39235,0.87257,0.51055,0.33727,0.36201,0.20313,1.68965,1.78265,1.16646,0.006535,0.006535,0.006535
37,54035.8,0.83256,0.39134,0.87132,0.51185,0.33693,0.36274,0.2038,1.68859,1.77551,1.16625,0.006436,0.006436,0.006436
38,55303.2,0.82748,0.38926,0.87083,0.50874,0.33666,0.36279,0.20405,1.68791,1.7723,1.16763,0.006337,0.006337,0.006337
39,56512.2,0.82325,0.38704,0.87089,0.50327,0.33833,0.36352,0.20457,1.68621,1.77622,1.16707,0.006238,0.006238,0.006238
40,57682.2,0.82024,0.38595,0.87002,0.50202,0.33756,0.36247,0.20418,1.68335,1.78355,1.1673,0.006139,0.006139,0.006139
41,58818.7,0.81475,0.38311,0.86743,0.49682,0.34017,0.36107,0.20316,1.68115,1.78768,1.16765,0.00604,0.00604,0.00604
42,60787.6,0.80843,0.38022,0.8666,0.4977,0.34061,0.36038,0.20269,1.67974,1.79014,1.16739,0.005941,0.005941,0.005941
43,62099.2,0.80331,0.37767,0.8649,0.49532,0.33897,0.35943,0.20225,1.67956,1.79163,1.16817,0.005842,0.005842,0.005842
44,64593.9,0.80111,0.377,0.86405,0.49463,0.34017,0.35905,0.20211,1.67892,1.79412,1.16891,0.005743,0.005743,0.005743
45,71216.6,0.79705,0.37458,0.86272,0.49506,0.33999,0.35885,0.20192,1.67698,1.79599,1.16931,0.005644,0.005644,0.005644
46,72332.4,0.79522,0.37448,0.8638,0.49655,0.33975,0.3587,0.2021,1.67528,1.79762,1.16986,0.005545,0.005545,0.005545
47,73604.4,0.79003,0.37172,0.86111,0.4971,0.34009,0.35915,0.20229,1.67335,1.79816,1.17,0.005446,0.005446,0.005446
48,74736.8,0.78723,0.37063,0.86208,0.49828,0.33983,0.35867,0.20212,1.67362,1.79783,1.17111,0.005347,0.005347,0.005347
49,75851.4,0.78318,0.36882,0.86047,0.5001,0.33964,0.35901,0.2024,1.67378,1.7959,1.17153,0.005248,0.005248,0.005248
50,77747.3,0.78106,0.36823,0.86001,0.4991,0.33931,0.35903,0.20251,1.67254,1.79369,1.17126,0.005149,0.005149,0.005149
51,79057.3,0.77752,0.36583,0.85959,0.50686,0.33475,0.35877,0.20219,1.6729,1.7921,1.17162,0.00505,0.00505,0.00505
52,80172.7,0.77252,0.36411,0.85755,0.50314,0.33626,0.35814,0.2019,1.67314,1.79269,1.17255,0.004951,0.004951,0.004951
53,81287.6,0.77022,0.363,0.85755,0.50208,0.33717,0.35791,0.20157,1.67391,1.7951,1.17317,0.004852,0.004852,0.004852
54,82448.1,0.76734,0.36167,0.85798,0.50415,0.33641,0.35812,0.20205,1.67392,1.79273,1.17372,0.004753,0.004753,0.004753
55,83575.1,0.76051,0.35898,0.85615,0.50178,0.33695,0.35812,0.2022,1.6745,1.79117,1.1744,0.004654,0.004654,0.004654
56,84785.6,0.76025,0.35837,0.85638,0.49979,0.3375,0.35824,0.20245,1.67581,1.79138,1.17515,0.004555,0.004555,0.004555
57,86136,0.75475,0.35614,0.85337,0.50235,0.33663,0.35827,0.20279,1.67583,1.79387,1.17559,0.004456,0.004456,0.004456
58,88966.7,0.75326,0.35541,0.85385,0.50355,0.3359,0.35819,0.20276,1.67578,1.79717,1.17579,0.004357,0.004357,0.004357
59,90084,0.74886,0.35354,0.85385,0.50485,0.33498,0.35832,0.20297,1.67598,1.79985,1.17589,0.004258,0.004258,0.004258
60,91625.1,0.74478,0.35168,0.85335,0.50291,0.33562,0.35806,0.20273,1.67552,1.80163,1.1758,0.004159,0.004159,0.004159
61,93389.2,0.74402,0.35113,0.85136,0.50283,0.33588,0.35759,0.2024,1.67674,1.80619,1.17627,0.00406,0.00406,0.00406
62,94506.3,0.74242,0.35,0.852,0.50263,0.3342,0.3571,0.20223,1.67803,1.8109,1.17685,0.003961,0.003961,0.003961
63,95682.5,0.73599,0.348,0.85006,0.50119,0.33532,0.35672,0.202,1.67923,1.81337,1.17752,0.003862,0.003862,0.003862
64,96799.2,0.72943,0.34505,0.84832,0.50366,0.33361,0.35661,0.20205,1.67975,1.81466,1.17772,0.003763,0.003763,0.003763
65,98116.2,0.72683,0.34365,0.8479,0.50339,0.33247,0.35655,0.2022,1.68027,1.8159,1.17811,0.003664,0.003664,0.003664
66,99233.6,0.72387,0.34206,0.84625,0.50397,0.3321,0.35681,0.20223,1.68018,1.81722,1.1785,0.003565,0.003565,0.003565
67,100350,0.72367,0.34231,0.84705,0.49885,0.3346,0.3569,0.20255,1.68075,1.82091,1.17909,0.003466,0.003466,0.003466
68,101467,0.71819,0.33961,0.84574,0.49824,0.33389,0.3568,0.20256,1.6806,1.82487,1.17925,0.003367,0.003367,0.003367
69,102600,0.71489,0.33829,0.84584,0.49866,0.33329,0.35678,0.20247,1.67992,1.82658,1.1795,0.003268,0.003268,0.003268
70,103717,0.70884,0.33545,0.84331,0.49771,0.33349,0.35709,0.20273,1.67947,1.82732,1.17965,0.003169,0.003169,0.003169
71,106462,0.70795,0.33574,0.84425,0.49981,0.33333,0.35732,0.20299,1.67966,1.82809,1.18011,0.00307,0.00307,0.00307
72,107579,0.705,0.33344,0.84413,0.49848,0.33286,0.35811,0.20387,1.67975,1.82981,1.18052,0.002971,0.002971,0.002971
73,109153,0.69966,0.33105,0.84278,0.4989,0.33179,0.3581,0.20417,1.67993,1.82985,1.18093,0.002872,0.002872,0.002872
74,110269,0.69634,0.32988,0.84257,0.49924,0.332,0.35837,0.20429,1.67982,1.8296,1.18156,0.002773,0.002773,0.002773
