epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.573,1.41858,1.40371,1.0455,0.57867,0.47175,0.4958,0.318,1.19508,0.88961,0.95505,0.00333127,0.00333127,0.00333127
2,606.096,1.33628,1.08666,0.99722,0.62121,0.47207,0.51689,0.33024,1.1946,0.88283,0.96124,0.00659863,0.00659863,0.00659863
3,1412.53,1.376,1.09086,1.00439,0.62934,0.47171,0.51983,0.32872,1.21905,0.89316,0.96874,0.00979998,0.00979998,0.00979998
4,1707.63,1.38032,1.08247,1.01073,0.61391,0.48661,0.51936,0.33071,1.21133,0.89226,0.96819,0.009703,0.009703,0.009703
5,2003.41,1.3618,1.03559,1.00751,0.63351,0.48786,0.53366,0.34171,1.18899,0.86065,0.96724,0.009604,0.009604,0.009604
6,2301.4,1.33444,0.99865,0.99757,0.62481,0.50287,0.54402,0.34725,1.18616,0.85486,0.96504,0.009505,0.009505,0.009505
7,2608.67,1.31375,0.97453,0.99476,0.65862,0.52171,0.5656,0.36361,1.16149,0.83104,0.95699,0.009406,0.009406,0.009406
8,2909.34,1.30223,0.95207,0.9917,0.65743,0.52492,0.5708,0.36775,1.17796,0.82245,0.95596,0.009307,0.009307,0.009307
9,4086.61,1.28756,0.9364,0.98602,0.6763,0.52066,0.57834,0.37549,1.15868,0.81477,0.9546,0.009208,0.009208,0.009208
10,4389.97,1.28119,0.92115,0.98292,0.68813,0.528,0.59166,0.38441,1.15596,0.79977,0.95685,0.009109,0.009109,0.009109
11,5315.56,1.27487,0.91151,0.98266,0.6532,0.5344,0.58313,0.37956,1.14517,0.80018,0.95077,0.00901,0.00901,0.00901
12,7312.17,1.26541,0.89881,0.97795,0.67948,0.53961,0.59569,0.38797,1.15512,0.79323,0.95211,0.008911,0.008911,0.008911
13,7613.3,1.26076,0.88466,0.97688,0.68719,0.53532,0.59792,0.3909,1.1423,0.79011,0.9498,0.008812,0.008812,0.008812
14,7960.81,1.24967,0.87635,0.97404,0.69468,0.54471,0.59719,0.38839,1.13354,0.77733,0.95006,0.008713,0.008713,0.008713
15,8335.7,1.24789,0.869,0.97186,0.67252,0.5564,0.60176,0.39361,1.12618,0.77615,0.94306,0.008614,0.008614,0.008614
16,8630.9,1.24362,0.85537,0.96963,0.68379,0.54531,0.60744,0.39417,1.13159,0.77166,0.94588,0.008515,0.008515,0.008515
17,8928.75,1.23725,0.84873,0.96804,0.69485,0.54934,0.61057,0.40003,1.13012,0.76476,0.94433,0.008416,0.008416,0.008416
18,9224.08,1.23142,0.84438,0.96645,0.68872,0.55976,0.61693,0.40381,1.12721,0.7652,0.94417,0.008317,0.008317,0.008317
19,9520.24,1.21877,0.83309,0.96225,0.69141,0.56498,0.61567,0.40515,1.12509,0.75388,0.94417,0.008218,0.008218,0.008218
20,9815.68,1.21804,0.82615,0.96374,0.69279,0.56465,0.61941,0.40945,1.11995,0.75042,0.94215,0.008119,0.008119,0.008119
21,10111,1.21398,0.82101,0.95841,0.70799,0.55741,0.61816,0.40555,1.11262,0.74792,0.93857,0.00802,0.00802,0.00802
22,10407.7,1.2118,0.81579,0.96077,0.69301,0.56342,0.62288,0.40881,1.1108,0.74189,0.93734,0.007921,0.007921,0.007921
23,10770.8,1.20616,0.80756,0.95552,0.69929,0.57042,0.62864,0.41088,1.1099,0.74032,0.93859,0.007822,0.007822,0.007822
24,11161.4,1.20381,0.80559,0.95677,0.70882,0.56543,0.62788,0.41205,1.11751,0.74651,0.94186,0.007723,0.007723,0.007723
25,11464.4,1.19186,0.79359,0.95451,0.69984,0.57936,0.63273,0.41442,1.10927,0.734,0.93928,0.007624,0.007624,0.007624
26,12016.3,1.1904,0.79159,0.95376,0.7028,0.57991,0.6308,0.41752,1.1066,0.73532,0.93474,0.007525,0.007525,0.007525
27,12311.6,1.19066,0.78436,0.95134,0.70371,0.58675,0.63664,0.41992,1.10882,0.73026,0.93575,0.007426,0.007426,0.007426
28,12823.4,1.18542,0.77863,0.95141,0.72072,0.581,0.63785,0.42165,1.10469,0.72887,0.93614,0.007327,0.007327,0.007327
