epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.705,1.30923,1.29159,1.0097,0.61946,0.47607,0.51083,0.33312,1.16506,0.86643,0.95056,0.00333127,0.00333127,0.00333127
2,600.201,1.26311,1.0106,0.97433,0.63579,0.48412,0.53851,0.35086,1.16087,0.85323,0.95053,0.00659863,0.00659863,0.00659863
3,906.564,1.29581,1.00094,0.98153,0.61249,0.48954,0.52301,0.32845,1.22971,0.894,0.97187,0.00979998,0.00979998,0.00979998
4,2212.35,1.3044,0.99955,0.99202,0.62214,0.5025,0.53788,0.34563,1.18408,0.87159,0.9649,0.009703,0.009703,0.009703
5,3590.36,1.285,0.96395,0.98673,0.64572,0.51061,0.55291,0.35383,1.17693,0.84515,0.96689,0.009604,0.009604,0.009604
6,4075.22,1.26984,0.93465,0.97998,0.65144,0.51418,0.56049,0.36184,1.1661,0.85043,0.96255,0.009505,0.009505,0.009505
7,4400.64,1.24898,0.91223,0.97571,0.63926,0.54042,0.57368,0.3736,1.14948,0.81737,0.95472,0.009406,0.009406,0.009406
8,5468.21,1.23961,0.89354,0.97306,0.65378,0.52578,0.57049,0.37215,1.15294,0.81811,0.95797,0.009307,0.009307,0.009307
9,6412.93,1.23236,0.88229,0.96847,0.67594,0.5341,0.59066,0.38449,1.13681,0.79787,0.94783,0.009208,0.009208,0.009208
10,7133.59,1.21888,0.85747,0.96463,0.68189,0.53671,0.59602,0.38714,1.14382,0.7898,0.95191,0.009109,0.009109,0.009109
11,7431.05,1.2179,0.84805,0.96307,0.67396,0.55149,0.59754,0.38841,1.13732,0.7878,0.94693,0.00901,0.00901,0.00901
12,7728.94,1.20307,0.83502,0.9633,0.66868,0.56071,0.6081,0.39765,1.13241,0.77669,0.95156,0.008911,0.008911,0.008911
13,8411.89,1.19708,0.8259,0.95577,0.70013,0.5549,0.6111,0.39957,1.13405,0.76592,0.94572,0.008812,0.008812,0.008812
14,8710.67,1.19508,0.8177,0.95649,0.69446,0.54861,0.60848,0.3984,1.12463,0.7633,0.94448,0.008713,0.008713,0.008713
15,9706.52,1.18313,0.80692,0.9519,0.70386,0.55653,0.61249,0.40288,1.11749,0.75677,0.94088,0.008614,0.008614,0.008614
16,10006,1.17989,0.8021,0.95321,0.70157,0.56771,0.62317,0.40794,1.12276,0.75602,0.94413,0.008515,0.008515,0.008515
17,10319.8,1.1727,0.79514,0.9506,0.68742,0.58106,0.61987,0.40625,1.11718,0.75049,0.93975,0.008416,0.008416,0.008416
18,10617.6,1.16679,0.7836,0.94728,0.68227,0.56242,0.61651,0.40534,1.11575,0.74965,0.9426,0.008317,0.008317,0.008317
19,11059.1,1.1619,0.77749,0.94829,0.6937,0.57932,0.62683,0.41434,1.11592,0.74439,0.94126,0.008218,0.008218,0.008218
20,11411.7,1.16131,0.77468,0.94692,0.69789,0.57518,0.62981,0.41518,1.11041,0.73535,0.94277,0.008119,0.008119,0.008119
21,12226.4,1.15297,0.76401,0.94607,0.70878,0.57502,0.63075,0.41435,1.11048,0.73701,0.94059,0.00802,0.00802,0.00802
22,13129.3,1.14924,0.75952,0.94143,0.70824,0.5807,0.63619,0.4172,1.10823,0.73416,0.94136,0.007921,0.007921,0.007921
23,13427.1,1.14344,0.75359,0.94312,0.72343,0.57584,0.63831,0.4206,1.10471,0.73011,0.93706,0.007822,0.007822,0.007822
24,13886.8,1.1414,0.74658,0.94203,0.71356,0.5765,0.63535,0.41918,1.10077,0.72955,0.93866,0.007723,0.007723,0.007723
25,14183.9,1.13631,0.73737,0.93943,0.71751,0.5768,0.63743,0.4211,1.10878,0.72525,0.93796,0.007624,0.007624,0.007624
26,14531.3,1.13274,0.73734,0.9409,0.71859,0.59076,0.64201,0.42369,1.10685,0.72752,0.94187,0.007525,0.007525,0.007525
27,14829.3,1.1328,0.73322,0.93687,0.70297,0.59105,0.64418,0.42493,1.10184,0.72363,0.93685,0.007426,0.007426,0.007426
28,15245.8,1.12892,0.72746,0.93584,0.72728,0.59367,0.64922,0.43004,1.09848,0.71496,0.93559,0.007327,0.007327,0.007327
29,15544.7,1.12373,0.7255,0.9344,0.7197,0.58685,0.64525,0.42602,1.10042,0.7193,0.93588,0.007228,0.007228,0.007228
30,15843.2,1.11715,0.71681,0.93355,0.72415,0.58805,0.64854,0.4326,1.09188,0.71404,0.93671,0.007129,0.007129,0.007129
